tic,fyear,at,lt,teq,sale,ni
GOOGL,2019,275909.0,74467.0,201442.0,161857.0,34343.0
GOOGL,2020,319616.0,97072.0,222544.0,182527.0,40269.0
GOOGL,2021,359268.0,107633.0,251635.0,257637.0,76033.0
GOOGL,2022,365264.0,109120.0,256144.0,282836.0,59972.0
GOOGL,2023,402392.0,119013.0,283379.0,307394.0,73795.0
GOOGL,2024,450256.0,125172.0,325084.0,350018.0,100118.0
