tic,fyear,at,lt,teq,sale,ni
MSFT,2019,286556.0,184226.0,102330.0,125843.0,39240.0
MSFT,2020,301311.0,183007.0,118304.0,143015.0,44281.0
MSFT,2021,333779.0,191791.0,141988.0,168088.0,61271.0
MSFT,2022,364840.0,198298.0,166542.0,198270.0,72738.0
MSFT,2023,411976.0,205753.0,206223.0,211915.0,72361.0
MSFT,2024,512163.0,243686.0,268477.0,245122.0,88136.0
