tic,fyear,at,lt,teq,sale,ni
TSLA,2019,34309.0,26199.0,7467.0,24578.0,-862.0
TSLA,2020,52148.0,28469.0,23075.0,31536.0,721.0
TSLA,2021,62131.0,30548.0,31015.0,53823.0,5519.0
TSLA,2022,82338.0,36440.0,45489.0,81462.0,12556.0
TSLA,2023,106618.0,43009.0,63367.0,96773.0,14997.0
TSLA,2024,122070.0,48390.0,73617.0,97690.0,7091.0
