tic,fyear,at,lt,teq,sale,ni
AAPL,2019,338516.0,248028.0,90488.0,260174.0,55256.0
AAPL,2020,323888.0,258549.0,65339.0,274515.0,57411.0
AAPL,2021,351002.0,287912.0,63090.0,365817.0,94680.0
AAPL,2022,352755.0,302083.0,50672.0,394328.0,99803.0
AAPL,2023,352583.0,290437.0,62146.0,383285.0,96995.0
AAPL,2024,364980.0,308030.0,56950.0,391035.0,93736.0
